1234, 24, 25, 53
1243, 37, 38, 54
1249, 42, 43, 55
1253, 19, 20, 56
1262, 7, 48, 57
1279, 8, 52, 58
1282, 45, 46, 59
1288, 49, 50, 60
1294, 22, 23, 61
1301, 40, 41, 62
1310, 15, 16, 63
1317, 33, 34, 64
1322, 10, 11, 65
1330, 28, 29, 66
1339, 5, 67, 47
1346, 6, 68, 51
1353, 5, 49, 69
1359, 6, 45, 70
1362, 51, 68, 71
1368, 47, 67, 72
1374, 5, 73, 67
1375, 5, 69, 73
1380, 6, 74, 68
1381, 6, 70, 74
1392, 68, 74, 75
1399, 67, 73, 76
1400, 46, 77, 59
1401, 7, 57, 77
1402, 7, 77, 46
1410, 59, 77, 78
1411, 59, 78, 79
1416, 57, 80, 77
1427, 57, 81, 80
1428, 50, 82, 60
1429, 8, 58, 82
1430, 8, 82, 50
1438, 60, 82, 83
1439, 60, 83, 84
1444, 58, 85, 82
1455, 58, 86, 85
1461, 70, 87, 74
1467, 69, 88, 73
1473, 70, 89, 87
1479, 69, 90, 88
1485, 85, 86, 91
1491, 86, 92, 91
1496, 86, 93, 92
1502, 80, 81, 94
1508, 81, 95, 94
1513, 81, 96, 95
1518, 83, 97, 84
1525, 84, 97, 98
1530, 25, 99, 53
1531, 25, 26, 99
1533, 53, 97, 100
1534, 23, 100, 61
1535, 23, 24, 100
1536, 24, 53, 100
1543, 78, 101, 79
1550, 79, 101, 102
1555, 43, 103, 55
1556, 43, 44, 103
1558, 55, 101, 104
1559, 41, 104, 62
1560, 41, 42, 104
1561, 42, 55, 104
1569, 18, 19, 105
1570, 19, 56, 105
1571, 56, 106, 105
1581, 36, 37, 107
1582, 37, 54, 107
1583, 54, 108, 107
1588, 61, 100, 109
1589, 61, 109, 91
1590, 85, 91, 109
1592, 83, 109, 97
1593, 97, 109, 100
1594, 62, 104, 110
1595, 62, 110, 94
1596, 80, 94, 110
1598, 78, 110, 101
1599, 101, 110, 104
1600, 67, 76, 111
1601, 67, 111, 72
1606, 68, 75, 112
1607, 68, 112, 71
1612, 16, 17, 113
1614, 16, 113, 63
1616, 105, 106, 113
1617, 34, 35, 114
1619, 34, 114, 64
1621, 107, 108, 114
1622, 11, 115, 65
1624, 11, 12, 115
1626, 87, 89, 115
1627, 29, 116, 66
1629, 29, 30, 116
1631, 88, 90, 116
1632, 13, 14, 117
1636, 74, 117, 75
1637, 31, 32, 118
1641, 73, 118, 76
1642, 58, 119, 86
1646, 86, 119, 93
1647, 57, 120, 81
1651, 81, 120, 96
1653, 9, 10, 121
1654, 10, 65, 121
1655, 65, 102, 121
1656, 102, 103, 121
1658, 27, 28, 122
1659, 28, 66, 122
1660, 66, 98, 122
1661, 98, 99, 122
1663, 94, 95, 123
1664, 39, 40, 123
1665, 40, 62, 123
1666, 62, 94, 123
1668, 91, 92, 124
1669, 21, 22, 124
1670, 22, 61, 124
1671, 61, 91, 124
1672, 14, 125, 117
1673, 75, 117, 125
1674, 14, 15, 125
1675, 15, 63, 125
1677, 75, 125, 112
1678, 63, 126, 125
1679, 112, 125, 126
1680, 63, 113, 126
1681, 106, 126, 113
1684, 32, 127, 118
1685, 76, 118, 127
1686, 32, 33, 127
1687, 33, 64, 127
1689, 76, 127, 111
1690, 64, 128, 127
1691, 111, 127, 128
1692, 64, 114, 128
1693, 108, 128, 114
1696, 20, 129, 56
1698, 20, 21, 129
1699, 21, 124, 129
1700, 92, 129, 124
1701, 38, 130, 54
1703, 38, 39, 130
1704, 39, 123, 130
1705, 95, 130, 123
1706, 9, 121, 131
1707, 103, 131, 121
1708, 3, 9, 131
1709, 3, 131, 44
1710, 44, 131, 103
1711, 26, 132, 99
1712, 4, 132, 26
1713, 4, 27, 132
1714, 27, 122, 132
1715, 99, 132, 122
1716, 96, 133, 108
1717, 108, 133, 128
1718, 72, 111, 133
1720, 111, 128, 133
1721, 93, 134, 106
1722, 106, 134, 126
1723, 71, 112, 134
1725, 112, 126, 134
1726, 17, 135, 113
1727, 105, 113, 135
1728, 1, 18, 135
1729, 1, 135, 17
1730, 18, 105, 135
1731, 35, 136, 114
1732, 107, 114, 136
1733, 2, 36, 136
1734, 2, 136, 35
1735, 36, 107, 136
1736, 56, 137, 106
1737, 93, 106, 137
1738, 56, 129, 137
1739, 92, 137, 129
1740, 92, 93, 137
1741, 54, 138, 108
1742, 96, 108, 138
1743, 54, 130, 138
1744, 95, 138, 130
1745, 95, 96, 138
1746, 59, 79, 139
1747, 45, 139, 70
1748, 45, 59, 139
1749, 70, 139, 89
1750, 79, 89, 139
1751, 60, 84, 140
1752, 49, 140, 69
1753, 49, 60, 140
1754, 69, 140, 90
1755, 84, 90, 140
1756, 12, 141, 115
1757, 87, 115, 141
1758, 12, 13, 141
1759, 13, 117, 141
1761, 30, 142, 116
1762, 88, 116, 142
1763, 30, 31, 142
1764, 31, 118, 142
1766, 65, 143, 102
1767, 65, 115, 143
1768, 89, 143, 115
1769, 79, 102, 143
1770, 79, 143, 89
1771, 66, 144, 98
1772, 66, 116, 144
1773, 90, 144, 116
1774, 84, 98, 144
1775, 84, 144, 90
1776, 77, 80, 145
1777, 77, 145, 78
1778, 78, 145, 110
1779, 80, 110, 145
1780, 82, 85, 146
1781, 82, 146, 83
1782, 83, 146, 109
1783, 85, 109, 146
1784, 53, 99, 147
1785, 53, 147, 97
1786, 97, 147, 98
1787, 98, 147, 99
1788, 55, 103, 148
1789, 55, 148, 101
1790, 101, 148, 102
1791, 102, 148, 103
1792, 47, 72, 149
1793, 47, 149, 48
1794, 48, 149, 57
1795, 57, 149, 120
1796, 72, 120, 149
1797, 51, 71, 150
1798, 51, 150, 52
1799, 52, 150, 58
1800, 58, 150, 119
1801, 71, 119, 150
2074, 118, 73, 142
2075, 142, 73, 88
2086, 117, 74, 141
2087, 141, 74, 87
2314, 96, 120, 133
2315, 133, 120, 72
2326, 93, 119, 134
2327, 134, 119, 71
